Comany,Date_of_Posting,Job_Title,Type,link_to_job
"SENDY 
Nairobi, KE",10th May 2017,FRONTEND ENGINEER,Developer,"<a class=""job-more"" href=""/jobs/view/3956/frontend-engineer""><i></i> <span>Read more</span></a>"
"Medic Mobile Inc. 
Kampala, UG",27th Oct 2017,Senior Designer,Designer,"<a class=""job-more"" href=""/jobs/view/4161/senior-designer""><i></i> <span>Read more</span></a>"
"Medic Mobile Inc. 
Nairobi, KE",27th Oct 2017,Research and Development Technical Lead,Technical Lead,"<a class=""job-more"" href=""/jobs/view/4160/research-and-development-technical-lead""><i></i> <span>Read more</span></a>"
"Collabmed Solutions Limited 
Nairobi, KE",25th Oct 2017,Laravel PHP and React.Js Developer,Developer,"<a class=""job-more"" href=""/jobs/view/4159/laravel-php-and-react-js-developer""><i></i> <span>Read more</span></a>"
", KE",19th Oct 2017,Project Manager,Manager,"<a class=""job-more"" href=""/jobs/view/4158/project-manager""><i></i> <span>Read more</span></a>"
", KE",19th Oct 2017,Senior Designer,Designer,"<a class=""job-more"" href=""/jobs/view/4157/senior-designer""><i></i> <span>Read more</span></a>"
"Powerhive 
Nairobi, KE",18th Oct 2017,Full-stack developer,Developer,"<a class=""job-more"" href=""/jobs/view/4156/full-stack-developer""><i></i> <span>Read more</span></a>"
"Kuja Kuja 
Kampala, UG",17th Oct 2017,Full Stack Developer and Creative Coder,Developer,"<a class=""job-more"" href=""/jobs/view/4154/full-stack-developer-and-creative-coder""><i></i> <span>Read more</span></a>"
"Tala 
Nairobi, KE",9th Aug 2017,QA Automation Engineer,Developer,"<a class=""job-more"" href=""/jobs/view/4067/qa-automation-engineer""><i></i> <span>Read more</span></a>"
"Tala 
Nairobi, KE",9th Aug 2017,Backend Engineer,Developer,"<a class=""job-more"" href=""/jobs/view/4068/backend-engineer""><i></i> <span>Read more</span></a>"
"Tala 
Nairobi, KE",9th Aug 2017,Site Reliability Engineer,Developer,"<a class=""job-more"" href=""/jobs/view/4069/site-reliability-engineer""><i></i> <span>Read more</span></a>"
"Incentro Africa 
Nairobi, KE",25th May 2017,Java an Android web developer (ICT sector),Developer,"<a class=""job-more"" href=""/jobs/view/3980/java-an-android-web-developer-ict-sector""><i></i> <span>Read more</span></a>"
"Granular IT Ltd 
Nairobi, KE",10th Dec 2016,Front End Developer - Full Time position,Developer,"<a class=""job-more"" href=""/jobs/view/3171/front-end-developer-full-time-position""><i></i> <span>Read more</span></a>"
"Redpulse Limited 
Nairobi, KE",14th Sep 2017,Full stack developer,Developer,"<a class=""job-more"" href=""/jobs/view/4117/full-stack-developer""><i></i> <span>Read more</span></a>"
"Lynk 
Nairobi, KE",9th Oct 2017,Project Management/Customer Service Intern,Other,"<a class=""job-more"" href=""/jobs/view/4149/project-management-customer-service-intern""><i></i> <span>Read more</span></a>"
"OkHi LLC 
Nairobi, KE",9th Oct 2017,Fullstack Web Applications Developer,Developer,"<a class=""job-more"" href=""/jobs/view/4148/fullstack-web-applications-developer""><i></i> <span>Read more</span></a>"
"INFAMA Limited 
Nairobi, KE",2nd Oct 2017,INHOUSE CREATIVE DESIGNER,Designer,"<a class=""job-more"" href=""/jobs/view/4143/inhouse-creative-designer""><i></i> <span>Read more</span></a>"
"Rivercross Technologies 
Nairobi, KE",29th Sep 2017,Applications Developer,Developer,"<a class=""job-more"" href=""/jobs/view/4142/applications-developer""><i></i> <span>Read more</span></a>"
"Techmtaa 
Nairobi, KE",16th Jul 2017,Business Development Executive,Sales,"<a class=""job-more"" href=""/jobs/view/4048/business-development-executive""><i></i> <span>Read more</span></a>"
"Optimetriks 
Nairobi, KE",26th Sep 2017,Frontend Developer - Web,Developer,"<a class=""job-more"" href=""/jobs/view/4140/frontend-developer-web""><i></i> <span>Read more</span></a>"
"Healthix Solutions Kenya Limited 
Nairobi, KE",27th Sep 2017,Software Developers (interns & Permanent staff),Developer,"<a class=""job-more"" href=""/jobs/view/4141/software-developers-interns-permanent-staff""><i></i> <span>Read more</span></a>"
"One Acre Fund 
Jinja, UG",25th Sep 2017,Software Developer,Developer,"<a class=""job-more"" href=""/jobs/view/4137/software-developer""><i></i> <span>Read more</span></a>"
"TaroWorks 
Nairobi, KE",24th Sep 2017,TaroWorks Consultant,Other,"<a class=""job-more"" href=""/jobs/view/4135/taroworks-consultant""><i></i> <span>Read more</span></a>"
"Tezza Business Solutions Limited 
Nairobi, KE",19th Sep 2017,UI / UX FRONT END DEVELOPER,Developer,"<a class=""job-more"" href=""/jobs/view/4122/ui-ux-front-end-developer""><i></i> <span>Read more</span></a>"
